#,Company,Ticker,Weight,Price,Company Name,Market Cap,Revenue,Op. Income,Net Income,EPS,FCF,Sector,Industry,Long Name
287,Old Dominion,ODFL,0.0005,150.6,"Old Dominion Freight Line, Inc.",29127202107.0,5638622000.0,1431831000.0,1095010000.0,5.12,803265000.0,Industrials,Trucking,"Old Dominion Freight Line, Inc."
288,Tractor Supply,TSCO,0.0005,59.63,Tractor Supply Company,29952868332.0,15148457000.0,1469897000.0,1087288000.0,2.04,984742000.0,Consumer Cyclical,Specialty Retail,Tractor Supply Company
289,Brown & Brown,BRO,0.0005,94.94,"Brown & Brown, Inc.",30932658909.0,5058000000.0,1535000000.0,1006000000.0,3.47,1286000000.0,Financial Services,Insurance Brokers,"Brown & Brown, Inc."
290,Dexcom,DXCM,0.0005,79.76,"DexCom, Inc.",26313618281.0,4300800000.0,687200000.0,571500000.0,1.44,570800000.0,Healthcare,Medical Devices,"DexCom, Inc."
291,DuPont,DD,0.0005,73.42,"DuPont de Nemours, Inc.",31897837063.0,12607000000.0,790000000.0,-194000000.0,-0.47,1322000000.0,Basic Materials,Specialty Chemicals,"DuPont de Nemours, Inc."
292,Ventas,VTR,0.0005,67.54,"Ventas, Inc.",31358512248.0,5302339000.0,705501000.0,191210000.0,0.46,-1374261000.0,Real Estate,REIT - Healthcare Facilities,"Ventas, Inc."
293,Equifax,EFX,0.0005,248.89,Equifax Inc.,31471532376.0,5840200000.0,1081800000.0,639700000.0,5.12,917000000.0,Industrials,Consulting Services,Equifax Inc.
294,Broadridge Financial Solutions,BR,0.0005,259.78,"Broadridge Financial Solutions, Inc.",27642519520.0,6889100000.0,1188600000.0,839500000.0,7.1,1127500000.0,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
295,M&T Bank,MTB,0.0005,193.74,M&T Bank Corporation,31275735901.0,8904000000.0,4150000000.0,2544000000.0,15.44,2961000000.0,Financial Services,Banks - Regional,M&T Bank Corporation
296,NRG Energy,NRG,0.0005,155.1,"NRG Energy, Inc.",32606630293.0,29367000000.0,1276000000.0,455000000.0,2.17,1394000000.0,Utilities,Utilities - Independent Power Producers,"NRG Energy, Inc."
297,Constellation Brands,STZ,0.0005,169.18,"Constellation Brands, Inc.",23353514005.0,10061900000.0,-138900000.0,-442300000.0,-2.36,2089900000.0,Consumer Defensive,Beverages - Brewers,"Constellation Brands, Inc."
298,"Warner Bros, Discovery",WBD,0.0005,11.86,"Warner Bros. Discovery, Inc.",48302317222.0,38441000000.0,221000000.0,768000000.0,0.3,4065000000.0,Communication Services,Entertainment,"Warner Bros. Discovery, Inc."
299,DTE Energy,DTE,0.0005,139.99,DTE Energy Company,28919056836.0,14201000000.0,2123000000.0,1443000000.0,6.95,-642000000.0,Utilities,Utilities - Regulated Electric,DTE Energy Company
300,Extra Space Storage,EXR,0.0005,136.75,Extra Space Storage Inc.,29679422426.0,3308315000.0,1445471000.0,976303000.0,4.61,919320000.0,Real Estate,REIT - Industrial,Extra Space Storage Inc.
301,Fifth Third Bancorp,FITB,0.0005,43.07,Fifth Third Bancorp,30069537268.0,7992000000.0,2954000000.0,2183000000.0,3.23,3767000000.0,Financial Services,Banks - Regional,Fifth Third Bancorp
302,Archer Daniels Midland,ADM,0.0005,59.2,Archer-Daniels-Midland Company,29116147670.0,82776000000.0,887000000.0,1099000000.0,2.27,4109000000.0,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
303,Keysight Technologies,KEYS,0.0005,164.41,"Keysight Technologies, Inc.",29790340325.0,5243000000.0,889000000.0,544000000.0,3.15,1415000000.0,Technology,Scientific & Technical Instruments,"Keysight Technologies, Inc."
304,Hewlett Packard Enterprise,HPE,0.0005,21.32,Hewlett Packard Enterprise Company,31649455080.0,33075000000.0,769000000.0,1136000000.0,0.84,569000000.0,Technology,Communication Equipment,Hewlett Packard Enterprise Company
305,"Rollins, Inc,",ROL,0.0005,57.61,"Rollins, Inc.",28317515375.0,3570470000.0,683404000.0,489325000.0,1.01,631557000.0,Consumer Cyclical,Personal Services,"Rollins, Inc."
306,American Water Works,AWK,0.0005,142.99,"American Water Works Company, Inc.",26603640460.0,4942000000.0,2134000000.0,1083000000.0,5.55,-1058000000.0,Utilities,Utilities - Regulated Water,"American Water Works Company, Inc."
307,Kellanova,K,0.0005,80.01,Kellanova,27097337448.0,12643000000.0,1855000000.0,1335000000.0,3.82,650000000.0,Consumer Defensive,Packaged Foods,Kellanova
308,Ameren,AEE,0.0005,101.5,Ameren Corporation,27608852628.0,8432000000.0,1625000000.0,1227000000.0,4.57,-1623000000.0,Utilities,Utilities - Regulated Electric,Ameren Corporation
309,PPL Corporation,PPL,0.0005,37.08,PPL Corporation,27154999723.0,8806000000.0,1889000000.0,988000000.0,1.34,-616000000.0,Utilities,Utilities - Regulated Electric,PPL Corporation
310,"W, R, Berkley Corporation",WRB,0.0005,71.42,W. R. Berkley Corporation,28780735615.0,14286154000.0,2390194000.0,1760594000.0,4.39,3434478000.0,Financial Services,Insurance - Property & Casualty,W. R. Berkley Corporation
311,Synchrony Financial,SYF,0.0005,72.8,Synchrony Financial,27733169628.0,9185000000.0,4241000000.0,3203000000.0,8.23,9876000000.0,Financial Services,Credit Services,Synchrony Financial
312,Supermicro,SMCI,0.0005,45.34,"Super Micro Computer, Inc.",27230352442.0,21972042000.0,1252994000.0,1048854000.0,1.68,1532310000.0,Technology,Computer Hardware,"Super Micro Computer, Inc."
